序号,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0,0.00,21.10,28.43,17.46,13.34,12.04,21.84,16.03,13.93,14.21,11.66,15.00,20.25,15.52,14.32,12.65,13.42,9.22,7.07,8.06,2.24,2.24,5.00,5.66,2.83,18.03,19.70,4.12,5.39,4.12,2.24,11.18,12.17,12.08,21.63,24.17,26.83,18.79,28.65,20.25,18.97,19.85,12.81,9.43,13.00,9.22,11.05,7.62,13.34,15.00,17.49,24.70,18.03,15.30,16.16,18.03,13.60,19.10,18.36,15.56,20.12,21.93,22.85,25.30,22.00,20.02,20.62,14.87,11.18,14.14,4.12,7.07,8.00,14.32,10.30,11.18,12.81,13.00,15.26,16.97,18.44,20.62,16.40,15.26,13.15,18.03,18.11,20.10,17.72,21.93,16.28,17.46,19.92,22.80,23.71,27.29,19.03,19.03,25.96,28.30,26.42,26.40,23.09,21.21,21.19,17.12,24.08,19.24,23.02,25.08,16.76,9.49,10.82,10.20,14.56,15.81,12.04,15.00,22.67,19.80,20.00,8.60,12.37,14.32,20.81,38.42,32.02,29.83,26.25,25.24,25.81,15.62,18.00,20.22,17.72,14.14,13.42,12.73,13.60,9.43,8.25,8.00,6.08,11.00,11.18,16.28,13.00,12.53,12.21,15.65,22.20,16.00,9.90,7.21,22.02,16.76,19.10,8.54,5.10,7.21,9.43,18.36,20.52,17.80,15.56,11.40,18.79,19.65,11.40,9.49,7.28,11.05,13.04,15.13,17.00,21.21,23.32,20.00,26.08,20.62,25.50
1,21.10,0.00,24.19,10.30,8.06,15.62,27.46,24.41,30.02,31.32,32.02,36.06,40.31,36.06,35.01,33.06,33.24,28.28,26.17,28.07,23.02,19.24,16.12,18.03,23.35,38.21,39.46,20.88,16.49,17.26,19.03,32.00,33.00,32.14,21.93,26.40,27.51,23.02,27.89,21.47,25.00,15.26,12.53,17.09,23.71,24.04,23.77,24.52,26.40,31.62,36.67,38.95,27.20,22.20,19.85,17.03,20.25,36.69,37.66,33.24,34.00,34.99,35.51,36.40,29.00,28.43,31.62,28.64,27.20,25.94,22.09,20.62,21.84,8.94,12.37,17.89,15.26,18.87,10.00,13.45,12.21,12.08,15.56,17.03,21.95,25.61,24.84,26.17,21.93,21.63,5.10,4.47,4.47,4.12,9.00,11.40,2.24,3.61,9.85,17.26,15.13,13.34,9.06,5.00,9.06,5.66,3.00,2.24,3.61,8.25,5.83,12.04,18.60,22.47,23.35,23.35,26.08,27.02,17.46,17.46,20.12,15.65,10.30,11.31,14.56,32.14,27.02,25.08,19.03,16.00,17.00,17.80,29.00,32.56,32.20,28.02,20.52,16.28,14.14,18.87,21.47,23.26,21.54,10.20,10.77,7.07,33.73,32.98,30.46,36.14,40.52,37.05,29.41,27.66,39.82,37.66,40.00,26.00,26.17,26.25,27.86,34.99,38.91,37.34,34.54,31.32,39.29,40.61,32.39,30.41,28.28,32.14,34.13,36.22,38.05,42.01,42.20,38.33,44.64,38.60,41.63
2,28.43,24.19,0.00,15.13,25.50,16.64,12.04,41.63,24.70,42.64,32.25,39.66,47.01,42.01,40.61,39.70,41.04,37.54,35.47,36.07,30.48,26.40,25.55,22.80,28.28,44.82,46.86,24.76,23.85,25.24,28.02,37.64,38.42,39.62,7.21,8.00,6.32,11.18,5.00,8.60,12.65,37.34,31.05,32.70,39.36,36.89,38.08,35.81,40.82,43.42,45.28,53.01,44.28,39.92,38.90,37.85,37.70,47.42,46.01,43.93,48.26,49.93,50.77,52.84,47.54,46.10,47.89,42.72,39.41,41.18,32.20,33.62,34.99,28.44,28.46,34.54,33.53,36.40,30.41,34.53,34.23,35.06,35.90,36.40,38.48,43.46,43.08,44.94,41.11,42.95,25.08,26.02,28.02,28.28,33.14,35.51,23.02,21.02,16.55,9.22,10.30,12.53,15.52,19.24,15.13,20.02,24.74,25.02,21.59,32.39,27.07,26.57,17.69,20.00,16.12,14.76,21.47,19.31,7.07,8.94,8.49,20.25,19.92,16.76,10.05,10.00,3.61,1.41,5.39,8.54,7.62,12.81,18.44,21.10,23.54,21.54,15.62,15.81,15.65,19.10,21.26,22.80,23.35,23.09,21.19,19.10,34.48,33.12,27.73,35.34,50.21,40.50,29.15,30.00,32.39,38.01,44.10,25.24,31.14,27.20,26.93,27.66,32.76,33.84,31.02,30.89,37.70,40.72,34.67,33.02,32.02,35.81,37.44,38.59,41.34,46.32,50.99,48.08,53.81,48.80,53.91
3,17.46,10.30,15.13,0.00,10.44,7.07,17.20,27.46,21.84,30.81,26.02,31.78,37.70,32.89,31.62,30.08,30.87,26.42,24.19,25.50,19.70,15.23,13.04,12.37,18.68,35.47,37.16,15.30,12.08,13.42,16.12,28.46,29.41,29.55,11.70,16.16,17.46,12.81,18.11,11.18,14.87,22.20,16.16,18.60,25.61,24.08,24.76,23.60,27.59,31.40,34.89,40.31,30.23,25.55,24.17,22.80,23.32,36.06,35.78,32.45,35.36,36.80,37.54,39.20,33.12,31.91,34.21,29.70,27.02,27.66,20.25,20.52,21.93,13.34,13.89,20.25,18.79,21.95,15.30,19.42,19.10,20.00,20.88,21.54,24.41,29.15,28.65,30.41,26.40,27.89,10.00,11.05,13.34,14.32,18.68,21.54,8.54,6.71,9.00,11.31,9.22,8.94,6.00,6.40,4.00,5.10,12.04,10.44,9.22,18.38,12.00,12.21,10.20,14.32,13.89,13.60,17.72,17.89,8.06,7.28,9.85,9.22,5.66,3.16,5.10,24.35,18.44,16.28,10.77,8.60,9.43,7.81,19.42,23.02,23.26,19.31,11.18,7.28,5.10,11.05,14.04,16.03,15.03,8.60,7.07,4.00,28.07,27.02,23.19,30.00,39.45,32.76,23.00,22.20,31.62,32.06,36.14,19.03,21.84,20.02,21.02,26.57,31.05,30.27,27.29,25.00,33.02,35.06,27.29,25.32,23.54,27.66,29.61,31.40,33.73,38.33,40.71,37.22,43.42,37.74,42.01
4,13.34,8.06,25.50,10.44,0.00,11.70,25.00,17.69,24.08,23.41,24.70,28.16,32.25,28.02,27.00,25.02,25.18,20.22,18.11,20.02,15.13,11.70,8.54,11.40,15.81,30.15,31.40,13.89,9.43,9.85,11.18,24.02,25.02,24.08,21.02,25.18,27.02,20.62,28.02,20.10,22.14,12.00,5.83,9.43,16.40,16.16,16.12,16.49,18.87,23.77,28.64,31.62,20.52,15.62,13.89,12.37,13.45,28.79,29.61,25.30,26.63,27.80,28.43,29.70,23.02,22.02,24.76,21.10,19.31,18.60,14.04,12.65,13.93,3.00,4.47,10.63,8.60,12.04,5.00,9.06,9.06,10.44,10.44,11.18,14.87,19.21,18.60,20.25,16.12,17.46,3.00,4.12,6.71,9.49,11.31,14.87,6.32,7.21,15.62,21.10,18.87,17.80,13.45,10.00,12.21,6.40,11.05,6.00,10.77,12.21,3.61,4.00,13.89,17.03,19.24,19.70,20.52,22.20,18.44,17.03,19.03,10.00,6.08,9.00,15.52,34.79,28.86,26.68,21.19,18.79,19.70,15.30,24.70,28.02,26.91,22.67,16.55,12.65,11.18,13.60,15.56,17.03,15.00,3.61,5.39,6.71,26.25,25.63,23.85,28.79,32.57,29.15,22.36,20.25,33.60,30.08,32.02,19.42,18.44,19.24,21.10,29.07,32.45,30.41,27.78,24.17,31.95,32.98,24.74,22.80,20.62,24.33,26.31,28.44,30.15,34.00,34.21,30.36,36.69,30.68,34.00
5,12.04,15.62,16.64,7.07,11.70,0.00,13.34,25.30,14.87,26.17,19.10,25.30,31.76,26.83,25.50,24.19,25.24,21.26,19.10,20.00,14.21,9.90,8.94,6.40,12.53,29.53,31.38,8.94,7.21,8.60,11.40,22.36,23.26,23.85,10.44,14.04,16.28,9.06,17.72,9.22,10.44,23.35,16.03,16.49,22.85,20.25,21.47,19.21,24.19,26.91,29.41,36.40,27.86,23.77,23.19,23.02,21.59,31.14,30.23,27.59,31.62,33.29,34.13,36.24,31.32,29.73,31.30,26.08,22.80,24.60,15.62,17.00,18.36,14.56,13.00,18.44,18.03,20.40,16.49,20.22,20.62,22.14,21.02,21.02,22.14,27.20,26.93,28.86,25.32,28.00,13.04,14.42,17.20,19.10,22.47,25.81,13.45,12.21,16.03,16.55,14.87,15.30,13.04,13.00,11.05,10.00,18.03,14.87,15.65,22.80,14.76,11.00,3.16,7.28,7.81,8.06,10.77,11.40,10.63,7.81,8.54,3.61,5.83,4.47,8.94,26.63,20.25,18.03,14.21,13.42,13.89,4.12,13.45,16.97,16.64,12.53,5.00,1.00,2.00,4.00,7.00,9.00,8.25,8.25,6.32,8.60,21.21,20.10,16.12,23.02,34.21,26.25,16.03,15.52,24.70,25.18,29.73,12.00,15.65,13.15,14.00,19.70,24.04,23.19,20.22,18.03,26.00,28.16,20.62,18.68,17.09,21.19,23.09,24.74,27.20,31.95,35.23,32.02,38.01,32.65,37.48
6,21.84,27.46,12.04,17.20,25.00,13.34,0.00,37.34,13.60,35.34,21.93,29.70,37.54,32.65,31.24,30.81,32.45,29.97,28.23,28.18,23.41,20.40,21.02,17.12,20.62,35.47,37.64,17.72,19.03,20.10,22.36,28.60,29.21,31.06,6.71,4.12,6.71,4.47,8.94,6.40,3.00,36.67,29.27,29.02,34.53,31.05,32.76,29.41,35.17,36.25,36.62,46.10,39.62,36.12,36.00,36.22,34.06,39.45,37.20,36.24,41.79,43.66,44.60,47.13,43.42,41.59,42.45,36.69,32.89,35.90,25.96,28.44,29.61,27.89,26.17,31.02,31.06,33.02,29.83,33.54,33.96,35.44,34.23,34.06,34.23,39.32,39.20,41.19,38.01,41.11,26.00,27.31,29.97,31.38,35.34,38.47,25.55,23.85,23.60,18.97,18.79,20.59,21.26,23.43,19.80,21.95,29.21,27.29,26.25,35.36,27.86,24.19,12.00,11.70,7.28,6.08,11.40,8.49,12.53,10.63,7.81,16.03,18.97,16.55,14.21,20.12,14.56,13.15,14.56,16.55,16.16,9.85,6.71,9.06,11.70,10.63,9.00,12.37,13.93,13.04,13.60,14.32,15.81,21.59,19.65,20.59,24.08,22.67,17.03,24.41,41.62,30.41,19.10,20.81,20.40,27.20,33.97,15.81,22.83,18.03,17.03,15.81,20.88,22.36,19.72,20.52,26.42,29.68,24.76,23.43,23.02,26.25,27.59,28.32,31.14,36.12,42.01,39.66,44.82,40.50,46.14
7,16.03,24.41,41.63,27.46,17.69,25.30,37.34,0.00,29.61,11.18,24.60,22.63,21.93,20.00,19.85,17.69,16.40,12.81,12.53,14.42,15.30,17.03,16.49,20.22,18.25,20.59,20.62,20.00,18.44,17.26,15.03,18.44,19.10,16.28,35.74,39.05,41.48,33.73,43.01,34.48,34.37,12.04,12.04,8.94,3.16,7.62,5.39,9.85,5.00,10.77,17.46,14.87,2.83,2.24,5.10,9.06,4.24,15.30,18.38,13.00,10.20,10.77,11.18,12.04,6.08,4.47,7.21,6.32,8.49,3.61,12.17,9.00,8.06,15.62,13.60,7.21,9.22,5.66,14.42,11.70,13.60,15.30,9.49,7.62,3.16,2.00,2.24,4.12,4.12,8.94,19.85,20.00,20.59,23.26,20.62,23.19,23.43,24.76,33.24,38.60,36.40,35.47,31.14,27.59,29.83,24.08,26.93,22.20,27.80,22.80,18.60,15.26,25.50,26.02,30.15,31.26,28.07,31.02,34.89,32.70,33.84,21.84,21.95,25.06,32.25,51.43,45.19,42.95,38.08,36.06,36.89,29.41,34.01,36.22,33.54,30.15,28.44,26.25,26.00,24.33,24.02,24.02,22.00,18.87,20.59,24.21,24.70,25.06,27.20,27.46,19.24,23.35,24.35,21.19,36.25,27.02,24.41,24.33,18.03,22.56,24.74,33.53,34.44,30.89,29.55,25.08,30.00,29.00,22.47,21.47,19.70,20.81,22.02,24.08,24.08,25.55,21.38,17.46,23.09,17.26,18.25
8,13.93,30.02,24.70,21.84,24.08,14.87,13.60,29.61,0.00,24.33,8.60,16.40,24.41,19.72,18.36,18.38,20.25,19.10,18.00,17.12,14.32,13.89,16.40,12.73,11.40,22.47,24.70,10.82,14.87,15.00,15.65,16.16,16.55,18.97,17.72,17.49,20.25,13.60,22.47,16.49,12.08,33.29,25.81,23.26,26.48,22.20,24.33,20.10,26.08,25.32,24.17,34.93,31.26,29.12,30.08,31.76,27.51,27.51,24.60,24.74,31.26,33.24,34.23,37.12,35.36,33.24,33.00,27.00,23.00,27.17,17.46,20.88,21.59,26.17,22.80,25.08,26.42,26.93,27.66,30.23,31.40,33.42,30.02,29.07,26.93,31.58,31.78,33.73,31.62,35.85,26.40,27.80,30.61,33.02,35.38,38.95,27.78,26.83,30.59,29.07,28.00,29.07,27.66,27.86,25.71,24.60,32.65,28.84,30.46,36.24,27.66,21.26,11.70,7.62,9.06,10.20,4.12,5.39,22.09,19.03,17.26,14.42,19.72,19.31,22.02,33.62,27.73,26.00,25.32,26.02,26.08,15.03,7.07,7.28,4.00,3.16,11.05,14.56,16.76,11.18,8.60,7.07,9.22,20.62,19.42,23.26,10.63,9.22,3.61,10.82,29.07,17.03,6.32,9.06,9.85,13.60,20.52,5.39,12.00,7.07,5.00,5.00,9.22,9.22,6.32,7.21,13.00,16.12,11.66,10.77,11.18,13.42,14.42,14.87,17.69,22.63,29.15,27.31,31.91,28.23,34.18
9,14.21,31.32,42.64,30.81,23.41,26.17,35.34,11.18,24.33,0.00,17.03,12.53,10.77,9.22,9.43,7.62,5.83,5.39,7.21,7.28,12.21,16.28,17.80,19.85,14.76,9.43,9.49,18.03,19.10,17.69,14.87,9.22,9.49,6.32,35.81,38.08,40.82,32.76,42.72,34.41,32.65,22.36,19.24,14.32,9.22,7.28,8.00,7.21,6.32,1.00,6.32,10.77,10.63,12.65,15.52,19.42,13.15,5.39,7.28,2.00,7.00,9.00,10.00,13.04,14.21,12.04,9.85,5.00,4.12,7.62,10.63,10.77,9.49,22.56,18.97,14.04,17.03,14.04,22.20,21.02,23.02,25.08,19.10,17.12,11.18,12.21,13.04,14.21,15.23,20.12,26.25,26.93,28.44,31.40,30.00,33.06,29.73,30.46,38.47,42.01,40.00,39.66,35.85,33.11,34.13,29.07,34.21,29.12,34.18,32.02,25.71,19.70,25.00,23.71,28.18,29.53,24.35,27.51,36.77,33.97,34.21,22.63,25.24,27.80,34.71,52.63,46.23,44.05,40.31,39.05,39.70,29.83,30.36,31.58,28.28,25.96,27.46,26.91,27.59,23.60,21.95,21.02,19.72,22.83,23.85,28.65,16.28,17.12,21.10,18.68,9.22,13.04,18.11,15.30,28.44,17.46,13.45,19.92,12.65,17.72,19.42,27.00,26.48,22.56,22.09,18.00,20.62,18.87,14.14,14.00,13.15,12.17,12.65,14.32,13.60,14.42,11.05,7.07,13.34,7.28,11.31
