teac,stu
2,"['9', '41', '156', '163', '11', '92', '141']"
7,"['18', '80', '143', '149', '171', '3', '7']"
21,"['17', '33', '62', '88', '95', '140', '153']"
29,"['85', '93', '100', '123', '175', '6', '13']"
23,"['117', '159', '27', '55', '77', '78', '102']"
17,"['125', '110', '154', '42', '51', '82', '114']"
22,"['172', '132', '2', '161', '166', '4', '14']"
3,"['34', '65', '67', '69', '70', '74']"
9,"['15', '72', '86', '103', '26', '47']"
16,"['81', '98', '147', '104', '155', '66']"
28,"['30', '57', '64', '75', '94']"
11,"['99', '122', '124', '142', '24']"
8,"['46', '32', '109', '23', '60']"
18,"['131', '87', '157', '174', '71']"
32,"['84', '130', '162', '68', '76']"
34,"['151', '167', '35', '38', '52']"
25,"['148', '150', '58', '79', '89']"
26,"['146', '107', '120', '121', '145']"
13,"['144', '158', '44', '97']"
10,"['135', '83', '113', '152']"
12,"['118', '137', '173', '40']"
33,"['91', '160', '116', '8']"
1,"['108', '138', '12', '43']"
5,"['22', '36', '48', '111']"
6,"['45', '49', '164', '53']"
19,"['37', '50', '129', '136']"
31,"['59', '119', '126', '101']"
35,"['90', '112', '169', '5']"
14,"['10', '21', '29', '54']"
15,"['28', '25', '61', '139']"
20,"['56', '170', '39', '105']"
30,"['20', '165', '1', '16']"
4,"['96', '106', '19', '31']"
24,"['73', '133', '63', '115']"
27,"['127', '128', '134', '168']"
