序号,城市名称,所属地级市,城市规模,单价（元/㎡）
1,深圳市辖区,深圳,超大城市,69233
2,上海市辖区,上海,超大城市,68984
3,北京市辖区,北京,超大城市,68271
4,厦门市辖区,厦门,大城市,52541
5,广州市辖区,广州,超大城市,46678
6,杭州市辖区,杭州,特大城市,43877
7,三亚市辖区,三亚,中等城市,39922
8,东莞市辖区,东莞,特大城市,36319
9,南京市辖区,南京,特大城市,35141
10,宁波市辖区,宁波,大城市,31410
11,苏州市辖区,苏州,大城市,30449
12,福州市辖区,福州,大城市,28878
13,义乌市,金华,大城市,27623
14,珠海市辖区,珠海,大城市,26148
15,天津市辖区,天津,超大城市,26105
16,永康市,金华,小城市,24624
17,温岭市,台州,小城市,24237
18,温州市辖区,温州,大城市,24099
19,丽水市辖区,丽水,小城市,23895
20,昆山市,苏州,中等城市,23833
21,青岛市辖区,青岛,特大城市,23192
22,万宁市,万宁,小城市,22172
23,泉州市辖区,泉州,大城市,22160
24,合肥市辖区,合肥,特大城市,22087
25,嘉兴市辖区,嘉兴,中等城市,21709
26,金华市辖区,金华,大城市,21568
27,乐清市,温州,中等城市,21269
28,绍兴市辖区,绍兴,大城市,20787
29,桐乡市,嘉兴,小城市,20691
30,无锡市辖区,无锡,大城市,19462
31,武汉市辖区,武汉,超大城市,19461
32,海宁市,嘉兴,小城市,19377
33,江山市,衢州,小城市,19324
34,成都市辖区,成都,超大城市,18846
35,常州市辖区,常州,大城市,18460
36,南通市辖区,南通,大城市,18307
37,瑞安市,温州,大城市,18276
38,常熟市,苏州,中等城市,18172
39,海口市辖区,海口,大城市,18084
40,三河市,廊坊,小城市,17912
41,台州市辖区,台州,大城市,17705
42,晋江市,泉州,小城市,17486
43,大连市辖区,大连,大城市,17206
44,衢州市辖区,衢州,小城市,17203
45,宜兴市,无锡,中等城市,17115
46,西安市辖区,西安,特大城市,17014
47,临海市,台州,小城市,16869
48,建德市,杭州,小城市,16805
49,宁德市辖区,宁德,小城市,16797
50,东阳市,金华,小城市,16459
51,启东市,南通,小城市,16414
52,济南市辖区,济南,特大城市,16333
53,诸暨市,绍兴,中等城市,16321
54,佛山市辖区,佛山,大城市,16279
55,余姚市,宁波,小城市,16115
56,扬州市辖区,扬州,大城市,16081
57,平湖市,嘉兴,小城市,16018
58,郑州市辖区,郑州,特大城市,15905
59,莆田市辖区,莆田,中等城市,15741
60,慈溪市,宁波,中等城市,15726
61,江阴市,无锡,小城市,15135
62,福清市,福州,小城市,14874
63,舟山市辖区,舟山,中等城市,14623
64,石家庄市辖区,石家庄,大城市,14594
65,湖州市辖区,湖州,中等城市,14562
66,张家港市,苏州,小城市,14204
67,泰州市辖区,泰州,中等城市,14203
68,昆明市辖区,昆明,大城市,14175
69,连云港市辖区,连云港,大城市,14169
70,芜湖市辖区,芜湖,大城市,14076
71,中山市辖区,中山,大城市,14048
72,徐州市辖区,徐州,大城市,14026
73,南昌市辖区,南昌,大城市,13967
74,重庆市辖区,重庆,超大城市,13792
75,泰安市辖区,泰安,大城市,13769
76,海安市,南通,小城市,13756
77,漳州市辖区,漳州,中等城市,13582
78,太仓市,苏州,小城市,13387
79,玉环市,台州,小城市,13130
80,大理市,大理,小城市,12987
81,盐城市辖区,盐城,大城市,12907
82,南宁市辖区,南宁,大城市,12904
83,靖江市,泰州,小城市,12842
84,龙港市,温州,小城市,12723
85,龙岩市辖区,龙岩,中等城市,12716
86,兰州市辖区,兰州,大城市,12531
87,长沙市辖区,长沙,特大城市,12390
88,惠州市辖区,惠州,大城市,12389
89,汕头市辖区,汕头,大城市,12275
90,溧阳市,常州,小城市,12146
91,唐山市辖区,唐山,大城市,11907
92,拉萨市辖区,拉萨,中等城市,11836
93,文昌市,文昌,小城市,11762
94,沈阳市辖区,沈阳,特大城市,11733
95,淮安市辖区,淮安,大城市,11681
96,沧州市辖区,沧州,中等城市,11670
97,赣州市辖区,赣州,大城市,11635
98,聊城市辖区,聊城,大城市,11625
99,宿迁市辖区,宿迁,中等城市,11625
100,兰溪市,金华,小城市,11617
101,如皋市,南通,小城市,11599
102,临沂市辖区,临沂,大城市,11517
