板块,网址,标题,网址,时间,点击量
重要通知,https://www.nsmc.edu.cn/kejichu/903,关于转发四川省社科联《关于开展四川省第二十次社会科学优秀成果评奖的通知》的通知,https://www.nsmc.edu.cn/kejichu/57660.html,2022-10-11 10:02,139次
重要通知,https://www.nsmc.edu.cn/kejichu/903,关于加强国庆假期安全管理工作的通知,https://www.nsmc.edu.cn/kejichu/57507.html,2022-09-29 16:26,95次
重要通知,https://www.nsmc.edu.cn/kejichu/903,关于转发《教育部科学技术与信息化司关于做好科技成果评价和科技伦理政策实务线上专题培训相关工作的通知》的通知,https://www.nsmc.edu.cn/kejichu/56648.html,2022-07-20 15:04,364次
重要通知,https://www.nsmc.edu.cn/kejichu/903,关于转发《南充市科学技术局  南充市财政局关于组织申报第四批市重点实验室和开展市重点实验室年度考核的通知》的通知,https://www.nsmc.edu.cn/kejichu/56647.html,2022-07-20 14:54,389次
重要通知,https://www.nsmc.edu.cn/kejichu/903,关于暑假期间进一步加强科研实验室安全管理的通知,https://www.nsmc.edu.cn/kejichu/56517.html,2022-07-08 15:07,389次
重要通知,https://www.nsmc.edu.cn/kejichu/903,关于对川北医学院申报2022川渝科技学术大会优秀论文的公示,https://www.nsmc.edu.cn/kejichu/56390.html,2022-07-04 16:01,925次
重要通知,https://www.nsmc.edu.cn/kejichu/903,川北医学院关于开展2022川渝科技学术大会优秀论文评选工作的通知,https://www.nsmc.edu.cn/kejichu/56144.html,2022-06-22 10:21,661次
重要通知,https://www.nsmc.edu.cn/kejichu/903,关于开展高校可转化科技成果及企业对接需求摸底调查工作的通知,https://www.nsmc.edu.cn/kejichu/55436.html,2022-05-30 15:10,467次
重要通知,https://www.nsmc.edu.cn/kejichu/903,川北医学院关于开展南充市社会科学优秀成果评定工作的通知,https://www.nsmc.edu.cn/kejichu/54798.html,2022-05-09 09:41,734次
重要通知,https://www.nsmc.edu.cn/kejichu/903,关于“五一”假期进一步加强科研实验室安全管理的通知,https://www.nsmc.edu.cn/kejichu/54696.html,2022-04-29 15:22,459次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于申报2022年四川特色哲学社会科学规划项目“地方金融监管专项课题”的通知,https://www.nsmc.edu.cn/kejichu/57599.html,2022-10-08 15:51,77次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于申报2022年四川特色哲学社会科学规划项目“生态文明建设专项课题”的通知,https://www.nsmc.edu.cn/kejichu/57597.html,2022-10-08 15:49,86次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于申报2022年校级科研发展计划项目的通知,https://www.nsmc.edu.cn/kejichu/57548.html,2022-09-30 15:55,457次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于启动2023年度国家自然科学基金申报工作的通知,https://www.nsmc.edu.cn/kejichu/57427.html,2022-09-27 09:06,177次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于转发四川省机关事务管理局开展 2022-2023 年度公共机构绿色低碳转型课题征集活动的通知,https://www.nsmc.edu.cn/kejichu/57360.html,2022-09-22 16:23,141次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于转发全国哲学社会科学工作办公室《2022年度国家社会科学基金重大项目招标公告》的通知,https://www.nsmc.edu.cn/kejichu/57015.html,2022-09-08 09:07,242次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于签订、报送2022年第一批南充市市校科技战略合作专项资金项目任务书和纸质申报书的通知,https://www.nsmc.edu.cn/kejichu/56908.html,2022-09-03 17:19,416次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于申报2022年四川省社科规划思想政治理论课研究专项课题的通知,https://www.nsmc.edu.cn/kejichu/56764.html,2022-08-25 16:28,374次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于申报2022年四川省哲学社会科学规划“四川省高校外国语言文学学科建设与发展项目”申报通知,https://www.nsmc.edu.cn/kejichu/56763.html,2022-08-25 16:25,321次
项目管理,https://www.nsmc.edu.cn/kejichu/898,关于组织申报2022年度教育部哲学社科科学研究和高校思政课教师研究专项重大课题攻关项目的通知,https://www.nsmc.edu.cn/kejichu/56742.html,2022-08-20 17:36,276次
成果管理,https://www.nsmc.edu.cn/kejichu/899,关于2022年度四川省科学技术奖提名奖的公示,https://www.nsmc.edu.cn/kejichu/54740.html,2022-04-24 14:52,856次
成果管理,https://www.nsmc.edu.cn/kejichu/899,川北医学院科技处关于转发《四川省科学技术协会关于推荐首届川渝科技学术大会暨四川科技学术大会优秀论文的通知》的通知,https://www.nsmc.edu.cn/kejichu/40712.html,2020-09-23 10:25,1829次
成果管理,https://www.nsmc.edu.cn/kejichu/899,川北医学院科技处关于转发《关于组织开展2020年四川专利奖申报工作的通知》的通知,https://www.nsmc.edu.cn/kejichu/40386.html,2020-08-28 14:59,1786次
成果管理,https://www.nsmc.edu.cn/kejichu/899,川北医学院科技处关于转发 《南充市科学技术局关于2018-2019年度南充市科技创新奖提名工作的通知》的通知,https://www.nsmc.edu.cn/kejichu/38657.html,2020-04-16 15:57,2169次
成果管理,https://www.nsmc.edu.cn/kejichu/899,川北医学院关于转发《四川省科学技术厅关于2020年度四川省科学技术奖提名工作的通知》的通知,https://www.nsmc.edu.cn/kejichu/38338.html,2020-04-07 10:53,2162次
成果管理,https://www.nsmc.edu.cn/kejichu/899,2019年中科院期刊分区,https://www.nsmc.edu.cn/kejichu/36827.html,2019-12-17 05:22,3262次
成果管理,https://www.nsmc.edu.cn/kejichu/899,川北医学院关于第十一届四川省教育厅哲学社会科学科研成果校内评审会通知,https://www.nsmc.edu.cn/kejichu/26632.html,2015-06-17 00:00,2729次
成果管理,https://www.nsmc.edu.cn/kejichu/899,我校老师参与的科研项目获2014年度教育部科技进步奖二等奖,https://www.nsmc.edu.cn/kejichu/26602.html,2015-06-05 00:00,2448次
成果管理,https://www.nsmc.edu.cn/kejichu/899,关于第八届科技大会科研成果奖励材料公示的通知,https://www.nsmc.edu.cn/kejichu/26603.html,2015-05-28 00:00,1794次
成果管理,https://www.nsmc.edu.cn/kejichu/899,关于第十一届四川省教育厅哲学社会科学科研成果评审申报工作的通知,https://www.nsmc.edu.cn/kejichu/26604.html,2015-04-30 00:00,3038次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年“校庆学术活动周”---学术讲座（牛娜）,https://www.nsmc.edu.cn/kejichu/50398.html,2021-10-25 16:13,1149次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年“校庆学术活动周”---学术讲座（贺前松）,https://www.nsmc.edu.cn/kejichu/50397.html,2021-10-25 16:11,1094次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年系列讲座暨网络思政大讲堂（杨清武）,https://www.nsmc.edu.cn/kejichu/50272.html,2021-10-24 20:23,975次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年“校庆学术活动周”学术讲座（伍春莲）,https://www.nsmc.edu.cn/kejichu/50271.html,2021-10-24 20:14,934次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年校友星辉系列讲座——川北医学院博士论坛33讲（李兴辉）,https://www.nsmc.edu.cn/kejichu/50241.html,2021-10-22 15:48,1107次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年校庆结束活动周系列活动之——国家继续教育项目“肿瘤放射治疗物理培训班”,https://www.nsmc.edu.cn/kejichu/50240.html,2021-10-22 15:46,904次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年高质量发展院士论坛,https://www.nsmc.edu.cn/kejichu/50238.html,2021-10-22 15:43,901次
